Date,Air flow rate,Rinse,%T-340 CTA,%Residue,Temp RX,ML Blow,Q concentration
26/11/2021 22:00,171.6191711,6.000479698,12.5,75,183.7001495,0,86.59999847
27/11/2021 04:00,172.1089478,6.002860546,12.30000019,0,183.3779144,0,86.40000153
27/11/2021 10:00,171.5463715,6.01339674,13.19999981,75,183.2523499,0,86.40000153
27/11/2021 16:00,171.9107971,6.013226509,13.5,75,183.3629456,0,86.5
27/11/2021 22:00,171.5519714,5.976049423,13.19999981,75,183.4946747,0,87
28/11/2021 04:00,171.7460785,5.980830193,12.80000019,50,183.4571075,0,86.19999695
28/11/2021 10:00,172.0350037,6.000601292,13.19999981,75,183.6460571,0,86.30000305
28/11/2021 16:00,172.6182556,6.008234501,12.69999981,75,183.4501495,0,86.5
28/11/2021 22:00,171.9690247,6.019513607,13.19999981,75,183.3613434,0,86.19999695
29/11/2021 04:00,171.9929047,5.993052483,13.60000038,75,183.4416046,0,86.5
29/11/2021 10:00,171.9752197,6.479208469,16,75,183.394455,0,86.30000305
29/11/2021 16:00,171.9497986,7.002966404,15.30000019,75,183.3849487,0,85.90000153
29/11/2021 22:00,171.3349304,7.004094601,14.89999962,75,183.4017639,3.478635311,86.09999847
30/11/2021 04:00,171.5014343,7.015955448,16.20000076,75,183.4130402,3.493645668,85.40000153
30/11/2021 10:00,170.2376556,7.010865688,13.30000019,75,183.4381714,3.467678785,85.69999695
30/11/2021 16:00,170.5571442,7.020215034,14.5,75,183.3594666,3.513196945,85.69999695
30/11/2021 22:00,170.0002594,7.020066738,15.5,75,183.3755798,3.505228519,84.90000153
01/12/2021 04:00,170.6116638,7.016486168,14.60000038,75,183.366684,3.490489006,85.09999847
01/12/2021 10:00,170.3688965,7.006792545,14.19999981,75,183.4273071,3.495158195,85.80000305
01/12/2021 16:00,170.0683746,6.992914677,16.20000076,75,183.3931732,3.491956234,85.90000153
01/12/2021 22:00,170.0379639,7.004719734,15,75,183.4796143,3.497575998,85.80000305
02/12/2021 04:00,169.8676453,6.996232033,13.89999962,75,183.4039307,3.514925718,85.80000305
02/12/2021 10:00,169.9320221,7.015092373,13.39999962,75,183.4523315,4.70E-05,85.69999695
02/12/2021 16:00,169.7220154,6.98060751,14,75,183.4076691,3.511666059,85.80000305
02/12/2021 22:00,169.5797882,6.941144943,14,75,183.4944305,3.509265661,86
03/12/2021 04:00,170.3751678,6.981129646,15.39999962,75,183.4674225,3.512055635,85.59999847
03/12/2021 10:00,169.463623,6.993685722,14.80000019,75,183.5585175,3.471100807,84.69999695
03/12/2021 16:00,169.6810303,6.984838009,16.20000076,75,183.4350739,3.492412329,84.40000153
03/12/2021 22:00,170.0141296,7.000034332,16.70000076,75,183.4194794,3.480744123,85.80000305
04/12/2021 04:00,170.3816681,7.006693363,16.5,75,183.5010681,3.537282705,85.69999695
